# Auto generated file Mon May  4 09:48:07 2015 
# 
# Number of fleets (res+con+sur)
 2 
# Fleet types (res=0, con=1, sur=2)
 0 2 
# Sample times (only relevent for sur)
 0 0.2 
# Number of years
 36 
# Years
 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 
# Number of observations 
 434 
# Index1 (index of first obs in each year) 
 1 9 17 25 33 41 54 67 80 93 106 119 132 145 158 171 184 197 210 223 236 249 262 275 288 301 314 326 339 352 365 378 391 404 417 430 
# Index2 (index of last obs in each year) 
 8 16 24 32 40 53 66 79 92 105 118 131 144 157 170 183 196 209 222 235 248 261 274 287 300 313 325 338 351 364 377 390 403 416 429 434 
# The observation matrix 
2000 1 5 896
2000 1 6 1511
2000 1 7 1612
2000 1 8 1806
2000 1 9 335
2000 1 10 173
2000 1 11 57
2000 2 2 0.38
2000 2 3 2.02
2000 2 4 2.54
2000 2 5 0.61
2000 2 6 0.84
2001 1 4 2619
2001 1 5 2184
2001 1 6 591
2001 1 7 977
2001 1 8 943
2001 1 9 819
2001 1 10 186
2001 1 11 94
2001 2 2 0.89
2001 2 3 1.9
2001 2 4 2.64
2001 2 5 1.6
2001 2 6 0.2
2002 1 4 4190
2002 1 5 3147
2002 1 6 2970
2002 1 7 519
2002 1 8 820
2002 1 9 570
2002 1 10 309
2002 1 11 101
2002 2 2 1.05
2002 2 3 2.23
2002 2 4 2.97
2002 2 5 3.08
2002 2 6 2.15
2003 1 4 4363
2003 1 5 6031
2003 1 6 2472
2003 1 7 1942
2003 1 8 285
2003 1 9 438
2003 1 10 289
2003 1 11 196
2003 2 2 0.05
2003 2 3 9.62
2003 2 4 5.06
2003 2 5 2.94
2003 2 6 1.34
2004 1 4 7841
2004 1 5 7195
2004 1 6 5363
2004 1 7 1563
2004 1 8 1057
2004 1 9 211
2004 1 10 224
2004 1 11 157
2004 2 2 0.91
2004 2 3 1.38
2004 2 4 9.39
2004 2 5 6.04
2004 2 6 4.35
2005 1 4 3089
2005 1 5 7333
2005 1 6 6876
2005 1 7 3592
2005 1 8 978
2005 1 9 642
2005 1 10 119
2005 1 11 149
2005 2 2 0.26
2005 2 3 4.32
2005 2 4 2.39
2005 2 5 7.42
2005 2 6 4.66
2006 1 4 10051
2006 1 5 2616
2006 1 6 5840
2006 1 7 4514
2006 1 8 1989
2006 1 9 667
2006 1 10 485
2006 1 11 118
2006 2 3 2.18
2006 2 4 6.69
2006 2 5 1.98
2006 2 6 8.91
2007 1 4 6552
2007 1 5 8751
2007 1 6 2124
2007 1 7 2935
2007 1 8 1817
2007 1 9 964
2007 1 10 395
2007 1 11 190
2007 2 2 0.06
2007 2 3 0.31
2007 2 4 1.73
2007 2 5 3.22
2007 2 6 0.81
2008 1 4 3602
2008 1 5 5874
2008 1 6 6706
2008 1 7 1155
2008 1 8 1894
2008 1 9 1248
2008 1 10 803
2008 1 11 262
2008 2 2 0.08
2008 2 3 2.25
2008 2 4 1.79
2008 2 5 2.85
2008 2 6 4.01
2009 1 4 5166
2009 1 5 2084
2009 1 6 2734
2009 1 7 2883
2009 1 8 777
2009 1 9 1101
2009 1 10 847
2009 1 11 555
2009 2 2 0.21
2009 2 3 2.43
2009 2 4 1.8
2009 2 5 0.68
2009 2 6 0.91
2010 1 4 6284
2010 1 5 3058
2010 1 6 997
2010 1 7 1644
2010 1 8 1571
2010 1 9 514
2010 1 10 656
2010 1 11 522
2010 2 2 0.07
2010 2 3 1.23
2010 2 4 4.99
2010 2 5 2.49
2010 2 6 0.63
2011 1 4 4850
2011 1 5 4006
2011 1 6 1502
2011 1 7 677
2011 1 8 1065
2011 1 9 1145
2011 1 10 323
2011 1 11 433
2011 2 2 0.15
2011 2 3 3.83
2011 2 4 4.2
2011 2 5 3.06
2011 2 6 1.15
2012 1 4 4816
2012 1 5 3514
2012 1 6 2417
2012 1 7 903
2012 1 8 432
2012 1 9 883
2012 1 10 1015
2012 1 11 354
2012 2 2 0.02
2012 2 3 1.75
2012 2 4 12.04
2012 2 5 6.86
2012 2 6 2.75
2013 1 4 5538
2013 1 5 6366
2013 1 6 2963
2013 1 7 1610
2013 1 8 664
2013 1 9 375
2013 1 10 537
2013 1 11 460
2013 2 2 0.12
2013 2 3 4.27
2013 2 4 7.43
2013 2 5 6.78
2013 2 6 4.65
2014 1 4 3499
2014 1 5 4867
2014 1 6 2805
2014 1 7 1276
2014 1 8 725
2014 1 9 347
2014 1 10 241
2014 1 11 312
2014 2 2 0.03
2014 2 3 0.39
2014 2 4 3.84
2014 2 5 3.78
2014 2 6 2.04
2015 2 2 0.04
2015 2 3 1.07
2015 2 4 1.9
2015 2 5 3.16
2015 2 6 1.72
# Proportion mature
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
0 0 1 1 1 1 1 1 1 1
# Stock mean weights
0 1428 1983 2667 3689 5409 6321 7213 8565 9147
0 1585 2037 2696 3525 4541 6247 6991 8202 9537
0 1547 2194 3015 3183 5114 6202 7256 7922 8924
0 1530 2221 3171 4270 4107 5984 7565 8673 8801
0 1653 2432 3330 4681 5466 4973 7407 8179 8770
0 1609 2172 3169 3922 4697 6411 6492 8346 9401
0 1450 2190 2959 4402 5488 6406 7570 6487 9616
0 1516 1715 2670 3839 5081 6185 7330 8025 7974
0 1261 2017 2513 3476 4719 5932 7523 8439 8748
0 1403 2021 2194 3047 4505 5889 7172 8852 10170
0 1647 1983 2566 3021 4077 5744 7038 7564 8854
0 1224 1939 2432 3160 3634 4967 6629 7704 9061
0 1269 1909 2578 3288 4150 4865 6168 7926 8349
0 1381 2143 2742 3636 4398 5421 5319 7006 8070
0 1444 1836 2649 3512 4906 5539 6818 6374 8341
0 1370 1977 2769 3722 4621 5854 6416 7356 6815
0 1229 1755 2670 3802 4902 5681 7182 7734 9256
0 1325 1936 2409 3906 5032 6171 7202 7883 8856
0 1347 1972 2943 3419 4850 5962 6933 7781 8695
0 1279 2106 2752 3497 3831 5819 7072 8078 8865
0 1367 1929 2751 3274 4171 4447 6790 8216 9369
0 1280 1882 2599 3697 4420 5538 5639 7985 9059
0 1308 1946 2569 3266 4872 5365 6830 7067 9240
0 1310 1908 2545 3336 4069 5792 7156 8131 8051
0 1467 1847 2181 2918 4017 5135 7125 7732 8420
0 1287 1888 2307 2619 3516 5080 6060 8052 8292
0 1164 1722 2369 2808 3235 4361 6007 7166 8459
0 1140 1578 2122 2719 3495 4114 5402 6995 7792
0 1306 1805 2295 2749 3515 4530 5132 6394 7694
0 1412 1862 2561 3023 3676 4596 5651 6074 7356
0 1287 1787 2579 3469 4135 4850 5558 6289 6750
0 1175 1801 2526 3680 4613 5367 5685 6466 6851
0 1160 1668 2369 3347 4430 5486 6161 6448 7220
0 1056 1675 2219 3244 4529 5628 6397 7055 7378
0 1211 1575 2229 2983 4378 5598 6773 8023 7875
0 1142 1726 2217 3071 4030 5532 6846 7175 7491
# Catch mean weights
0 1428 1983 2667 3689 5409 6321 7213 8565 9147
0 1585 2037 2696 3525 4541 6247 6991 8202 9537
0 1547 2194 3015 3183 5114 6202 7256 7922 8924
0 1530 2221 3171 4270 4107 5984 7565 8673 8801
0 1653 2432 3330 4681 5466 4973 7407 8179 8770
0 1609 2172 3169 3922 4697 6411 6492 8346 9401
0 1450 2190 2959 4402 5488 6406 7570 6487 9616
0 1516 1715 2670 3839 5081 6185 7330 8025 7974
0 1261 2017 2513 3476 4719 5932 7523 8439 8748
0 1403 2021 2194 3047 4505 5889 7172 8852 10170
0 1647 1983 2566 3021 4077 5744 7038 7564 8854
0 1224 1939 2432 3160 3634 4967 6629 7704 9061
0 1269 1909 2578 3288 4150 4865 6168 7926 8349
0 1381 2143 2742 3636 4398 5421 5319 7006 8070
0 1444 1836 2649 3512 4906 5539 6818 6374 8341
0 1370 1977 2769 3722 4621 5854 6416 7356 6815
0 1229 1755 2670 3802 4902 5681 7182 7734 9256
0 1325 1936 2409 3906 5032 6171 7202 7883 8856
0 1347 1972 2943 3419 4850 5962 6933 7781 8695
0 1279 2106 2752 3497 3831 5819 7072 8078 8865
0 1367 1929 2751 3274 4171 4447 6790 8216 9369
0 1280 1882 2599 3697 4420 5538 5639 7985 9059
0 1308 1946 2569 3266 4872 5365 6830 7067 9240
0 1310 1908 2545 3336 4069 5792 7156 8131 8051
0 1467 1847 2181 2918 4017 5135 7125 7732 8420
0 1287 1888 2307 2619 3516 5080 6060 8052 8292
0 1164 1722 2369 2808 3235 4361 6007 7166 8459
0 1140 1578 2122 2719 3495 4114 5402 6995 7792
0 1306 1805 2295 2749 3515 4530 5132 6394 7694
0 1412 1862 2561 3023 3676 4596 5651 6074 7356
0 1287 1787 2579 3469 4135 4850 5558 6289 6750
0 1175 1801 2526 3680 4613 5367 5685 6466 6851
0 1160 1668 2369 3347 4430 5486 6161 6448 7220
0 1056 1675 2219 3244 4529 5628 6397 7055 7378
0 1211 1575 2229 2983 4378 5598 6773 8023 7875
# Natural Mortality
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2
